state_name_full,median_income,year
Connecticut,87005,2020
Maine,65800,2020
Massachusetts,87264,2020
New Hampshire,86800,2020
New Jersey,87352,2020
New York,71300,2020
Pennsylvania,69913,2020
Rhode Island,70002,2020
Vermont,73800,2020
Connecticut,73011,2019
Maine,58001,2019
Massachusetts,86651,2019
New Hampshire,81000,2019
New Jersey,74100,2019
New York,67105,2019
Pennsylvania,64305,2019
Rhode Island,62341,2019
Vermont,69844,2019
Connecticut,76348,2018
Maine,55602,2018
Massachusetts,79835,2018
New Hampshire,74991,2018
New Jersey,81740,2018
New York,67844,2018
Pennsylvania,60905,2018
Rhode Island,64340,2018
Vermont,60782,2018
Connecticut,74168,2017
Maine,55277,2017
Massachusetts,77385,2017
New Hampshire,73381,2017
New Jersey,80088,2017
New York,64894,2017
Pennsylvania,59105,2017
Rhode Island,63870,2017
Vermont,57513,2017
Connecticut,73433,2016
Maine,55277,2016
Massachusetts,75297,2016
New Hampshire,70936,2016
New Jersey,76126,2016
New York,62909,2016
Pennsylvania,56907,2016
Rhode Island,60596,2016
Vermont,57677,2016